dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.848966,-1.309315,2.862752,5.069815,5.009273,1.781610,6.139778
0.020000,2.951278,-1.324281,2.966153,5.170063,5.012395,0.156092,6.136122
0.020000,3.055514,-1.339916,3.071556,5.270108,5.002208,-0.509357,6.132482
0.020000,3.161681,-1.356236,3.178969,5.370690,5.029103,1.344741,6.128863
0.020000,3.269778,-1.373251,3.288397,5.471394,5.035237,0.306705,6.125266
0.020000,3.379804,-1.390975,3.399842,5.572230,5.041785,0.327396,6.121695
0.020000,3.491760,-1.409418,3.513306,5.673204,5.048718,0.346643,6.118154
0.020000,3.605643,-1.428591,3.628792,5.774324,5.056006,0.364397,6.114644
0.020000,3.721456,-1.448505,3.746304,5.875597,5.063618,0.380609,6.111169
0.020000,3.839196,-1.469170,3.865845,5.977027,5.071523,0.395234,6.107732
0.020000,3.958866,-1.490595,3.987417,6.078621,5.079687,0.408233,6.104336
0.020000,4.080465,-1.512790,4.111025,6.180383,5.088079,0.419564,6.100982
0.020000,4.203993,-1.535762,4.236671,6.282316,5.096662,0.429192,6.097674
0.020000,4.329452,-1.559519,4.364360,6.384424,5.105404,0.437081,6.094415
0.020000,4.456837,-1.584068,4.494088,6.486418,5.099711,-0.284658,6.091207
0.020000,4.586151,-1.609416,4.625863,6.588767,5.117453,0.887109,6.088053
0.020000,4.717398,-1.635569,4.759691,6.691373,5.130309,0.642803,6.084956
0.020000,4.850572,-1.662531,4.895567,6.793810,5.121827,-0.424097,6.081917
0.020000,4.985679,-1.690308,5.033499,6.896606,5.139806,0.898965,6.078940
0.020000,5.122717,-1.718903,5.173489,6.999499,5.144658,0.242573,6.076026
0.020000,5.261687,-1.748319,5.315538,7.102445,5.147286,0.131398,6.073179
0.020000,5.402591,-1.778558,5.459650,7.205606,5.158066,0.539014,6.070401
0.020000,5.545430,-1.809623,5.605829,7.308918,5.165562,0.374798,6.067694
0.020000,5.690203,-1.841514,5.754072,7.412185,5.163349,-0.110631,6.065060
0.020000,5.836916,-1.874231,5.904389,7.515832,5.182397,0.952358,6.062503
0.020000,5.985568,-1.907774,6.056779,7.619486,5.182674,0.013847,6.060024
0.020000,6.136159,-1.942141,6.211242,7.723155,5.183440,0.038343,6.057626
0.020000,6.288696,-1.977330,6.367784,7.827127,5.198594,0.757678,6.055311
0.020000,6.443179,-2.013338,6.526408,7.931203,5.203808,0.260692,6.053082
0.020000,6.599611,-2.050161,6.687116,8.035392,5.209461,0.282652,6.050941
0.020000,6.757996,-2.087794,6.849910,8.139702,5.215526,0.303233,6.048891
0.020000,6.918336,-2.126231,7.014793,8.244142,5.221973,0.322369,6.046934
0.020000,7.080635,-2.165466,7.181767,8.348717,5.228773,0.339991,6.045073
0.020000,7.244898,-2.205490,7.350836,8.453435,5.235893,0.356029,6.043310
0.020000,7.411129,-2.246296,7.522002,8.558301,5.243302,0.370414,6.041647
0.020000,7.579333,-2.287874,7.695269,8.663321,5.250963,0.383075,6.040089
0.020000,7.749515,-2.330212,7.870638,8.768497,5.258842,0.393941,6.038636
0.020000,7.921682,-2.373300,8.048115,8.873835,5.266901,0.402939,6.037293
0.020000,8.095839,-2.417124,8.227701,8.979297,5.273078,0.308883,6.036062
0.020000,8.271991,-2.461671,8.409399,9.084884,5.279356,0.313870,6.034946
0.020000,8.450148,-2.506924,8.593213,9.190731,5.292326,0.648528,6.033948
0.020000,8.630316,-2.552869,8.779148,9.296707,5.298837,0.325529,6.033071
