dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.020911,-0.103386,3.048767,5.312133,4.964610,-0.000000,6.226456
0.020000,3.127972,-0.109509,3.156003,5.411425,4.964610,-0.000000,6.225666
0.020000,3.237010,-0.115828,3.265224,5.510717,4.964610,0.000000,6.224940
0.020000,3.348027,-0.122339,3.376431,5.610010,4.964610,-0.000000,6.224283
0.020000,3.461022,-0.129037,3.489625,5.709302,4.964610,-0.000000,6.223698
0.020000,3.575995,-0.135914,3.604804,5.808594,4.964610,0.000000,6.223189
0.020000,3.692948,-0.142965,3.721968,5.907886,4.964610,0.000000,6.222762
0.020000,3.811880,-0.150182,3.841119,6.007178,4.964610,-0.000000,6.222419
0.020000,3.932792,-0.157555,3.962255,6.106471,4.964610,0.000000,6.222166
0.020000,4.055684,-0.165074,4.085378,6.205763,4.964610,0.000000,6.222006
0.020000,4.180558,-0.172728,4.210486,6.305055,4.964610,0.000000,6.221946
0.020000,4.307414,-0.180505,4.337580,6.404347,4.964610,-0.000000,6.221988
0.020000,4.436253,-0.188390,4.466660,6.503639,4.964610,0.000000,6.222140
0.020000,4.567076,-0.196370,4.597726,6.602932,4.964610,-0.000000,6.222405
0.020000,4.699883,-0.204428,4.730777,6.702224,4.964610,-0.000000,6.222789
0.020000,4.834676,-0.212546,4.865815,6.801516,4.964610,0.000000,6.223297
0.020000,4.971457,-0.220705,5.002838,6.900808,4.964610,0.000000,6.223935
0.020000,5.110205,-0.228883,5.141827,6.998115,4.865318,-4.964610,6.224709
0.020000,5.250883,-0.237056,5.282743,7.093435,4.766026,-4.964610,6.225625
0.020000,5.393453,-0.245197,5.425545,7.186770,4.666734,-4.964610,6.226688
0.020000,5.537876,-0.253278,5.570193,7.278119,4.567441,-4.964610,6.227905
0.020000,5.684114,-0.261272,5.716649,7.367482,4.468149,-4.964610,6.229282
0.020000,5.832128,-0.269145,5.864873,7.454859,4.368857,-4.964610,6.230825
0.020000,5.981881,-0.276867,6.014824,7.540250,4.269565,-4.964610,6.232540
0.020000,6.133332,-0.284402,6.166463,7.623656,4.170273,-4.964610,6.234434
0.020000,6.286445,-0.291714,6.319750,7.705075,4.070980,-4.964610,6.236514
0.020000,6.441180,-0.298767,6.474646,7.784509,3.971688,-4.964610,6.238787
0.020000,6.597499,-0.305521,6.631111,7.861957,3.872396,-4.964610,6.241260
0.020000,6.755362,-0.311934,6.789105,7.937419,3.773104,-4.964610,6.243940
0.020000,6.914731,-0.317963,6.948588,8.010895,3.673812,-4.964610,6.246836
0.020000,7.075567,-0.323563,7.109521,8.082386,3.574519,-4.964610,6.249954
0.020000,7.237829,-0.328688,7.271863,8.151890,3.475227,-4.964610,6.253303
0.020000,7.401478,-0.333289,7.435576,8.219409,3.375935,-4.964610,6.256893
0.020000,7.566471,-0.337314,7.600620,8.284942,3.276643,-4.964610,6.260730
0.020000,7.732772,-0.340712,7.766954,8.348489,3.177351,-4.964610,6.264826
0.020000,7.900334,-0.343426,7.934539,8.410050,3.078058,-4.964610,6.269189
0.020000,8.069120,-0.345401,8.103336,8.469625,2.978766,-4.964610,6.273828
0.020000,8.239083,-0.346576,8.273305,8.527215,2.879474,-4.964610,6.278756
0.020000,8.410184,-0.346891,8.444405,8.582818,2.780182,-4.964610,0.000796
0.020000,8.582376,-0.346281,8.616597,8.636436,2.680890,-4.964610,0.006331
0.020000,8.755612,-0.344681,8.789843,8.688068,2.581597,-4.964610,0.012187
