dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.003744,-0.237432,3.052261,5.318221,4.970300,0.000000,6.139778
0.020000,3.109975,-0.252971,3.159620,5.417627,4.970300,0.000000,6.136122
0.020000,3.218109,-0.269191,3.268966,5.517033,4.970300,0.000000,6.132482
0.020000,3.328150,-0.286106,3.380301,5.616439,4.970300,-0.000000,6.128863
0.020000,3.440095,-0.303727,3.493624,5.715845,4.970300,0.000000,6.125266
0.020000,3.553939,-0.322066,3.608935,5.815251,4.970300,-0.000000,6.121695
0.020000,3.669678,-0.341132,3.726234,5.914657,4.970300,0.000000,6.118154
0.020000,3.787310,-0.360936,3.845521,6.014063,4.970300,-0.000000,6.114644
0.020000,3.906831,-0.381488,3.966797,6.113469,4.970300,0.000000,6.111169
0.020000,4.028239,-0.402797,4.090060,6.212875,4.970300,-0.000000,6.107732
0.020000,4.151529,-0.424870,4.215312,6.312281,4.970300,0.000000,6.104336
0.020000,4.276701,-0.447717,4.342551,6.411687,4.970300,-0.000000,6.100982
0.020000,4.403751,-0.471344,4.471779,6.511093,4.970300,0.000000,6.097674
0.020000,4.532678,-0.495758,4.602995,6.610499,4.970300,0.000000,6.094415
0.020000,4.663474,-0.520964,4.736199,6.709905,4.970300,0.000000,6.091207
0.020000,4.796140,-0.546969,4.871391,6.809311,4.970300,-0.000000,6.088053
0.020000,4.930678,-0.573778,5.008571,6.908717,4.970300,0.000000,6.084956
0.020000,5.067077,-0.601393,5.147740,7.008123,4.970300,-0.000000,6.081917
0.020000,5.205342,-0.629819,5.288896,7.107529,4.970300,0.000000,6.078940
0.020000,5.345469,-0.659058,5.432041,7.206935,4.970300,-0.000000,6.076026
0.020000,5.487456,-0.689113,5.577174,7.306341,4.970300,0.000000,6.073179
0.020000,5.631301,-0.719984,5.724295,7.405747,4.970300,-0.000000,6.070401
0.020000,5.777005,-0.751672,5.873404,7.505153,4.970300,0.000000,6.067694
0.020000,5.924563,-0.784176,6.024501,7.604559,4.970300,0.000000,6.065060
0.020000,6.073980,-0.817496,6.177586,7.703965,4.970300,0.000000,6.062503
0.020000,6.225251,-0.851630,6.332659,7.803371,4.970300,-0.000000,6.060024
0.020000,6.378374,-0.886575,6.489721,7.902777,4.970300,0.000000,6.057626
