dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.190231,0.971700,3.193506,5.404556,4.800770,-0.518757,6.225666
0.020000,3.300054,0.965335,3.303513,5.500363,4.790349,-0.521057,6.224940
0.020000,3.411781,0.958782,3.415432,5.595960,4.779803,-0.527296,6.224283
0.020000,3.525409,0.952048,3.529259,5.691341,4.769050,-0.537629,6.223698
0.020000,3.640932,0.945137,3.644989,5.786485,4.757206,-0.592190,6.223189
0.020000,3.758347,0.938058,3.762617,5.881403,4.745935,-0.563576,6.222762
0.020000,3.877649,0.930819,3.882139,5.976104,4.735033,-0.545101,6.222419
0.020000,3.998835,0.923430,4.003550,6.070539,4.721767,-0.663297,6.222166
0.020000,4.121900,0.915900,4.126845,6.164749,4.710489,-0.563901,6.222006
0.020000,4.246839,0.908242,4.252019,6.258696,4.697321,-0.658373,6.221946
0.020000,4.373649,0.900468,4.379066,6.352384,4.684425,-0.644799,6.221988
0.020000,4.502324,0.892592,4.507982,6.445803,4.670959,-0.673311,6.222140
0.020000,4.632861,0.884630,4.638761,6.538944,4.657026,-0.696660,6.222405
0.020000,4.765253,0.876597,4.771397,6.631798,4.642707,-0.715963,6.222789
0.020000,4.899497,0.868512,4.905884,6.724355,4.627877,-0.741473,6.223297
0.020000,5.035587,0.860395,5.042217,6.816604,4.612408,-0.773468,6.223935
0.020000,5.173499,0.852266,5.180367,6.907540,4.546843,-3.278254,6.224709
0.020000,5.313187,0.844151,5.320291,6.996180,4.431996,-5.742343,6.225625
0.020000,5.454607,0.836075,5.461942,7.082538,4.317890,-5.705295,6.226688
0.020000,5.597714,0.828067,5.605272,7.166533,4.199741,-5.907439,6.227905
0.020000,5.742463,0.820155,5.750238,7.248269,4.086817,-5.646215,6.229282
0.020000,5.888808,0.812371,5.896790,7.327605,3.966799,-6.000875,6.230825
0.020000,6.036706,0.804745,6.044884,7.404707,3.855082,-5.585889,6.232540
0.020000,6.186109,0.797312,6.194472,7.479383,3.733806,-6.063763,6.234434
0.020000,6.336971,0.790106,6.345506,7.551717,3.616714,-5.854637,6.236514
0.020000,6.489247,0.783165,6.497940,7.621699,3.499095,-5.880941,6.238787
0.020000,6.642890,0.776527,6.651727,7.689328,3.381426,-5.883455,6.241260
0.020000,6.797854,0.770232,6.806818,7.754551,3.261186,-6.011995,6.243940
0.020000,6.954089,0.764322,6.963165,7.817376,3.141232,-5.997675,6.246836
0.020000,7.111550,0.758839,7.120721,7.877806,3.021502,-5.986490,6.249954
0.020000,7.270187,0.753828,7.279437,7.935783,2.898825,-6.133864,6.253303
0.020000,7.429949,0.749337,7.439263,7.991293,2.775522,-6.165164,6.256893
